epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
139,1983.79,1.77859,1.38726,1.20132,0.50433,0.73529,0.63198,0.25206,1.66547,1.35321,1.21796,0.003169,0.003169,0.003169
140,1997.69,1.76311,1.50064,1.22905,0.5151,0.69118,0.66862,0.24296,1.65564,1.34942,1.21116,0.0031195,0.0031195,0.0031195
141,2011.71,1.85608,1.43312,1.21206,0.50992,0.73448,0.61905,0.24111,1.64927,1.34823,1.20694,0.00307,0.00307,0.00307
142,2026.68,1.83102,1.37958,1.20324,0.50718,0.79412,0.66514,0.25679,1.62823,1.33766,1.19568,0.0030205,0.0030205,0.0030205
143,2041.92,1.79316,1.42342,1.23848,0.51102,0.82353,0.6482,0.28228,1.57594,1.29828,1.17733,0.002971,0.002971,0.002971
144,2057.13,1.83201,1.46057,1.20447,0.53614,0.82353,0.66353,0.3006,1.53808,1.28003,1.15993,0.0029215,0.0029215,0.0029215
145,2072.42,1.93099,1.40698,1.18756,0.51471,0.80882,0.64271,0.29769,1.54091,1.26947,1.16114,0.002872,0.002872,0.002872
146,2086.96,1.78584,1.34793,1.19892,0.51684,0.77941,0.64985,0.29277,1.58299,1.24498,1.17244,0.0028225,0.0028225,0.0028225
147,2101.07,1.72954,1.29933,1.17504,0.50297,0.75,0.62846,0.29753,1.61943,1.22258,1.18362,0.002773,0.002773,0.002773
148,2115.02,1.76693,1.36421,1.23618,0.57163,0.70647,0.63922,0.29184,1.64952,1.21937,1.1976,0.0027235,0.0027235,0.0027235
149,2129.12,1.82314,1.39502,1.18691,0.57592,0.72059,0.67797,0.3251,1.65872,1.22781,1.2088,0.002674,0.002674,0.002674
150,2143.24,1.80976,1.43547,1.23128,0.57964,0.72059,0.68788,0.31163,1.67452,1.23354,1.21979,0.0026245,0.0026245,0.0026245
151,2157.35,1.70837,1.3951,1.16871,0.62452,0.75,0.65376,0.31309,1.69047,1.23319,1.22585,0.002575,0.002575,0.002575
152,2171.45,1.84539,1.36638,1.2218,0.6083,0.72059,0.65166,0.30976,1.70108,1.23132,1.22919,0.0025255,0.0025255,0.0025255
